userid,time,fwver,errtype,errcode
13726,2020-11-03 18:00:00,04.16.3345,4,0
13726,2020-11-03 18:00:00,04.16.3345,11,1
13726,2020-11-03 18:00:00,04.16.3345,10,1
13726,2020-11-03 18:00:00,04.16.3345,12,1
13726,2020-11-03 18:00:00,04.16.3345,3,1
13726,2020-11-03 18:00:00,04.16.3345,14,1
13726,2020-11-03 20:00:00,04.16.3345,11,1
13726,2020-11-03 20:00:00,04.16.3345,10,1
13726,2020-11-03 20:00:00,04.16.3345,12,1
13726,2020-11-03 20:00:00,04.16.3345,3,1
13726,2020-11-03 20:00:00,04.16.3345,14,1
13726,2020-11-06 21:00:00,04.16.3345,10,1
13726,2020-11-06 21:00:00,04.16.3345,11,1
13726,2020-11-06 21:00:00,04.16.3345,12,1
