userid,time,fwver,errtype,errcode
13860,2020-11-01 00:00:00,04.16.3345,26,1
13860,2020-11-01 01:00:00,04.16.3345,15,1
13860,2020-11-01 02:00:00,04.16.3345,11,1
13860,2020-11-01 02:00:00,04.16.3345,12,1
13860,2020-11-01 02:00:00,04.16.3345,15,1
13860,2020-11-01 13:00:00,04.16.3345,16,1
13860,2020-11-01 13:00:00,04.16.3345,4,0
13860,2020-11-01 13:00:00,04.16.3345,4,0
13860,2020-11-01 13:00:00,04.16.3345,26,1
13860,2020-11-01 16:00:00,04.16.3345,15,1
13860,2020-11-01 17:00:00,04.16.3345,16,1
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,15,1
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,11,1
13860,2020-11-01 17:00:00,04.16.3345,12,1
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,4,0
13860,2020-11-01 17:00:00,04.16.3345,11,1
13860,2020-11-01 17:00:00,04.16.3345,12,1
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,11,1
13860,2020-11-02 11:00:00,04.16.3345,12,1
13860,2020-11-02 11:00:00,04.16.3345,15,1
13860,2020-11-02 11:00:00,04.16.3345,16,1
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 11:00:00,04.16.3345,4,0
13860,2020-11-02 12:00:00,04.16.3345,4,0
13860,2020-11-02 20:00:00,04.16.3345,4,0
13860,2020-11-02 22:00:00,04.16.3345,4,0
13860,2020-11-02 22:00:00,04.16.3345,26,1
13860,2020-11-02 22:00:00,04.16.3345,15,1
13860,2020-11-02 22:00:00,04.16.3345,4,0
13860,2020-11-02 23:00:00,04.16.3345,16,1
13860,2020-11-02 23:00:00,04.16.3345,4,0
13860,2020-11-03 22:00:00,04.16.3345,26,1
13860,2020-11-03 22:00:00,04.16.3345,15,1
13860,2020-11-03 22:00:00,04.16.3345,4,0
13860,2020-11-03 22:00:00,04.16.3345,16,1
13860,2020-11-03 23:00:00,04.16.3345,4,0
13860,2020-11-03 23:00:00,04.16.3345,15,1
13860,2020-11-04 08:00:00,04.16.3345,26,1
13860,2020-11-04 08:00:00,04.16.3345,16,1
13860,2020-11-04 08:00:00,04.16.3345,4,0
13860,2020-11-04 08:00:00,04.16.3345,4,0
13860,2020-11-04 13:00:00,04.16.3345,15,1
13860,2020-11-04 18:00:00,04.16.3345,16,1
13860,2020-11-04 18:00:00,04.16.3345,4,0
13860,2020-11-04 18:00:00,04.16.3345,4,0
13860,2020-11-04 21:00:00,04.16.3345,4,0
13860,2020-11-04 22:00:00,04.16.3345,4,0
13860,2020-11-05 00:00:00,04.16.3345,26,1
13860,2020-11-05 00:00:00,04.16.3345,15,1
13860,2020-11-05 02:00:00,04.16.3345,12,1
13860,2020-11-05 02:00:00,04.16.3345,11,1
13860,2020-11-05 02:00:00,04.16.3345,15,1
13860,2020-11-05 11:00:00,04.16.3345,16,1
13860,2020-11-05 11:00:00,04.16.3345,4,0
13860,2020-11-05 11:00:00,04.16.3345,4,0
13860,2020-11-05 11:00:00,04.16.3345,4,0
13860,2020-11-05 12:00:00,04.16.3345,4,0
13860,2020-11-05 12:00:00,04.16.3345,26,1
13860,2020-11-05 12:00:00,04.16.3345,4,0
13860,2020-11-05 12:00:00,04.16.3345,11,1
13860,2020-11-05 12:00:00,04.16.3345,12,1
13860,2020-11-05 19:00:00,04.16.3345,4,0
13860,2020-11-05 19:00:00,04.16.3345,4,0
13860,2020-11-05 20:00:00,04.16.3345,4,0
13860,2020-11-05 20:00:00,04.16.3345,4,0
13860,2020-11-05 20:00:00,04.16.3345,26,1
13860,2020-11-05 20:00:00,04.16.3345,15,1
13860,2020-11-05 20:00:00,04.16.3345,16,1
13860,2020-11-05 21:00:00,04.16.3345,15,1
