userid,time,fwver,errtype,errcode
9831,2020-11-13 16:00:00,04.22.1656,14,1
9831,2020-11-13 16:00:00,04.22.1656,7,1
9831,2020-11-13 16:00:00,04.22.1656,11,1
9831,2020-11-13 16:00:00,04.22.1656,12,1
9831,2020-11-13 16:00:00,04.22.1656,22,1
9831,2020-11-13 16:00:00,04.22.1656,5,S-65002
9831,2020-11-13 16:00:00,04.22.1656,6,1
9831,2020-11-13 17:00:00,04.22.1656,28,1
9831,2020-11-13 17:00:00,04.22.1656,27,1
9831,2020-11-13 17:00:00,04.22.1656,14,1
9831,2020-11-13 17:00:00,04.22.1656,6,1
9831,2020-11-13 17:00:00,04.22.1656,7,1
9831,2020-11-13 17:00:00,04.22.1656,6,1
9831,2020-11-13 17:00:00,04.22.1656,7,1
9831,2020-11-13 17:00:00,04.22.1656,14,1
9831,2020-11-13 17:00:00,04.22.1656,13,1
9831,2020-11-13 17:00:00,04.22.1656,12,1
9831,2020-11-13 17:00:00,04.22.1656,13,1
9831,2020-11-13 17:00:00,04.22.1656,13,1
9831,2020-11-13 17:00:00,04.22.1656,14,1
9831,2020-11-13 17:00:00,04.22.1656,7,1
9831,2020-11-13 17:00:00,04.22.1656,6,1
9831,2020-11-13 17:00:00,04.22.1656,14,1
9831,2020-11-13 17:00:00,04.22.1656,6,1
9831,2020-11-13 17:00:00,04.22.1656,7,1
9831,2020-11-13 17:00:00,04.22.1656,26,1
9831,2020-11-13 17:00:00,04.22.1656,23,connection timeout
9831,2020-11-13 17:00:00,04.22.1656,22,1
9831,2020-11-13 17:00:00,04.22.1656,23,connection timeout
9831,2020-11-13 17:00:00,04.22.1656,23,connection timeout
9831,2020-11-13 21:00:00,04.22.1656,15,1
9831,2020-11-13 22:00:00,04.22.1656,16,1
9831,2020-11-13 22:00:00,04.22.1656,4,0
9831,2020-11-13 22:00:00,04.22.1656,4,0
9831,2020-11-13 22:00:00,04.22.1656,15,1
9831,2020-11-13 22:00:00,04.22.1656,4,0
9831,2020-11-13 22:00:00,04.22.1656,16,1
9831,2020-11-13 22:00:00,04.22.1656,4,0
9831,2020-11-14 03:00:00,04.22.1656,15,1
9831,2020-11-14 03:00:00,04.22.1750,36,8.0
9831,2020-11-14 03:00:00,04.22.1750,33,3
9831,2020-11-14 03:00:00,04.22.1750,15,1
9831,2020-11-14 03:00:00,04.22.1750,37,0
9831,2020-11-14 03:00:00,04.22.1750,15,1
9831,2020-11-14 03:00:00,04.22.1750,11,1
9831,2020-11-14 03:00:00,04.22.1750,12,1
9831,2020-11-14 03:00:00,04.22.1750,15,1
9831,2020-11-14 09:00:00,04.22.1750,16,1
9831,2020-11-14 09:00:00,04.22.1750,31,0
9831,2020-11-14 10:00:00,04.22.1750,31,1
9831,2020-11-14 10:00:00,04.22.1750,31,0
9831,2020-11-14 11:00:00,04.22.1750,15,1
9831,2020-11-14 11:00:00,04.22.1750,16,1
9831,2020-11-14 11:00:00,04.22.1750,31,1
9831,2020-11-14 11:00:00,04.22.1750,31,0
