userid,time,fwver,errtype,errcode
9278,2020-11-01 04:00:00,05.15.2122,4,0
9278,2020-11-01 04:00:00,05.15.2122,12,1
9278,2020-11-01 04:00:00,05.15.2122,11,1
9278,2020-11-02 04:00:00,05.15.2122,4,0
9278,2020-11-02 04:00:00,05.15.2122,11,1
9278,2020-11-02 04:00:00,05.15.2122,12,1
9278,2020-11-02 10:00:00,05.15.2122,16,1
9278,2020-11-02 10:00:00,05.15.2122,26,1
9278,2020-11-02 10:00:00,05.15.2122,4,0
9278,2020-11-02 15:00:00,05.15.2122,18,1
9278,2020-11-02 15:00:00,05.15.2122,4,0
9278,2020-11-20 13:00:00,05.15.2122,11,1
9278,2020-11-20 13:00:00,05.15.2122,12,1
9278,2020-11-20 13:00:00,05.15.2122,5,Q-64002
9278,2020-11-20 13:00:00,05.15.2122,18,1
9278,2020-11-20 13:00:00,05.15.2122,26,1
9278,2020-11-20 16:00:00,05.15.2122,15,1
9278,2020-11-20 16:00:00,05.15.2122,4,0
9278,2020-11-23 10:00:00,05.15.2122,11,1
9278,2020-11-23 10:00:00,05.15.2122,12,1
9278,2020-11-23 10:00:00,05.15.2122,26,1
9278,2020-11-23 10:00:00,05.15.2122,18,1
9278,2020-11-23 12:00:00,05.15.2122,4,0
