userid,time,fwver,errtype,errcode
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 00:00:00,04.16.3553,32,80
50,2020-11-01 00:00:00,04.16.3553,32,79
50,2020-11-01 01:00:00,04.16.3553,32,80
50,2020-11-01 01:00:00,04.16.3553,32,79
50,2020-11-01 01:00:00,04.16.3553,32,80
50,2020-11-01 01:00:00,04.16.3553,32,79
