userid,time,fwver,errtype,errcode
495,2020-11-20 21:00:00,10,5,S-61001
495,2020-11-20 21:00:00,10,5,S-61001
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
693,2020-11-19 22:00:00,10,5,B-A8002
1183,2020-11-18 19:00:00,10,5,S-61001
1183,2020-11-18 19:00:00,10,5,S-61001
1183,2020-11-18 19:00:00,10,5,S-61001
1183,2020-11-18 19:00:00,10,5,S-61001
1206,2020-11-13 09:00:00,10,5,S-61001
1206,2020-11-13 09:00:00,10,5,S-61001
1206,2020-11-13 09:00:00,10,5,S-61001
1319,2020-11-04 17:00:00,10,5,S-61001
1319,2020-11-04 17:00:00,10,5,S-61001
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 00:00:00,10,5,B-A8002
1479,2020-11-23 01:00:00,10,5,B-A8002
1479,2020-11-23 01:00:00,10,5,B-A8002
1479,2020-11-23 01:00:00,10,5,B-A8002
1479,2020-11-23 01:00:00,10,5,B-A8002
1479,2020-11-23 02:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,B-A8002
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 20:00:00,10,5,S-61001
1670,2020-11-03 21:00:00,10,5,B-A8002
1670,2020-11-04 19:00:00,10,5,S-61001
1670,2020-11-04 19:00:00,10,5,S-61001
1670,2020-11-04 19:00:00,10,5,B-A8002
1670,2020-11-04 19:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 18:00:00,10,5,B-A8002
1670,2020-11-06 19:00:00,10,5,B-A8002
1670,2020-11-09 16:00:00,10,5,B-A8002
1670,2020-11-09 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 16:00:00,10,5,B-A8002
1670,2020-11-17 17:00:00,10,5,B-A8002
1670,2020-11-17 17:00:00,10,5,B-A8002
1670,2020-11-17 17:00:00,10,5,B-A8002
1670,2020-11-17 17:00:00,10,5,B-A8002
1670,2020-11-17 17:00:00,10,5,B-A8002
1670,2020-11-17 18:00:00,10,5,B-A8002
1670,2020-11-29 19:00:00,10,5,B-A8002
