userid,time,fwver,errtype,errcode
2623,2020-11-04 21:00:00,10,5,S-61001
2623,2020-11-04 21:00:00,10,5,S-61001
6980,2020-11-17 22:00:00,10,5,S-61001
6980,2020-11-17 22:00:00,10,5,S-61001
10271,2020-11-04 22:00:00,10,5,S-61001
10271,2020-11-05 21:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,B-A8002
10785,2020-11-15 11:00:00,10,5,S-61001
10785,2020-11-15 11:00:00,10,5,B-A8002
10785,2020-11-15 11:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,V-21008
10785,2020-11-15 15:00:00,10,5,V-21008
10785,2020-11-15 15:00:00,10,5,V-21008
10785,2020-11-15 20:00:00,10,5,V-21007
10785,2020-11-15 21:00:00,10,5,V-21007
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 09:00:00,10,5,S-61001
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 11:00:00,10,5,B-A8002
10785,2020-11-23 02:00:00,10,5,B-A8002
10785,2020-11-23 02:00:00,10,5,B-A8002
10785,2020-11-23 08:00:00,10,5,V-21003
10785,2020-11-23 10:00:00,10,5,V-21008
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,S-61001
10785,2020-11-04 08:00:00,10,5,B-A8002
10785,2020-11-15 11:00:00,10,5,S-61001
10785,2020-11-15 11:00:00,10,5,B-A8002
10785,2020-11-15 11:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,S-61001
10785,2020-11-15 12:00:00,10,5,B-A8002
10785,2020-11-15 12:00:00,10,5,V-21008
10785,2020-11-15 15:00:00,10,5,V-21008
10785,2020-11-15 15:00:00,10,5,V-21008
10785,2020-11-15 20:00:00,10,5,V-21007
10785,2020-11-15 21:00:00,10,5,V-21007
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 07:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,B-A8002
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 08:00:00,10,5,V-21008
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 09:00:00,10,5,S-61001
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 09:00:00,10,5,B-A8002
10785,2020-11-16 11:00:00,10,5,B-A8002
10785,2020-11-23 02:00:00,10,5,B-A8002
10785,2020-11-23 02:00:00,10,5,B-A8002
10785,2020-11-23 08:00:00,10,5,V-21003
10785,2020-11-23 10:00:00,10,5,V-21008
11040,2020-11-04 22:00:00,10,5,B-A8002
11040,2020-11-04 22:00:00,10,5,B-A8002
11073,2020-11-21 09:00:00,10,5,B-A8002
