features,varimp
Column_15,1315
Column_14,1260
Column_25,1143
Column_11,1009
Column_10,912
Column_4,818
Column_33,813
Column_55,812
Column_22,808
Column_30,771
Column_47,735
Column_21,680
Column_43,657
Column_16,656
Column_48,639
Column_39,639
Column_57,587
Column_29,585
Column_40,578
Column_13,571
Column_17,564
Column_44,548
Column_117,528
Column_96,521
Column_32,513
Column_109,496
Column_23,490
Column_104,484
Column_42,464
Column_46,440
Column_3,439
Column_52,417
Column_51,410
Column_41,387
Column_118,378
Column_91,366
Column_31,352
Column_112,350
Column_122,344
Column_6,337
Column_99,333
Column_56,327
Column_9,327
Column_5,318
Column_34,316
Column_49,296
Column_59,284
Column_12,278
Column_84,274
Column_105,269
Column_113,255
Column_36,250
Column_26,212
Column_50,207
Column_93,197
Column_92,197
Column_35,179
Column_58,173
Column_106,161
Column_100,152
Column_28,150
Column_120,149
Column_114,149
Column_19,147
Column_0,126
Column_119,124
Column_123,121
Column_18,118
Column_101,118
Column_24,116
Column_45,113
Column_110,100
Column_107,93
Column_27,93
Column_37,87
Column_38,73
Column_85,69
Column_60,60
Column_20,54
Column_2,40
Column_53,38
Column_94,35
Column_87,27
Column_97,9
Column_86,9
Column_111,7
Column_1,5
Column_108,4
Column_124,4
Column_7,4
Column_121,3
Column_98,3
Column_88,3
Column_8,1
Column_95,1
Column_102,0
Column_115,0
Column_116,0
Column_103,0
Column_63,0
Column_90,0
Column_89,0
Column_54,0
Column_61,0
Column_62,0
Column_64,0
Column_65,0
Column_66,0
Column_67,0
Column_68,0
Column_69,0
Column_70,0
Column_71,0
Column_72,0
Column_73,0
Column_74,0
Column_75,0
Column_76,0
Column_77,0
Column_78,0
Column_79,0
Column_80,0
Column_81,0
Column_82,0
Column_83,0
Column_125,0
