features,varimp
Column_15,963
Column_25,864
Column_14,859
Column_30,799
Column_39,691
Column_4,686
Column_21,627
Column_22,627
Column_3,583
Column_10,583
Column_11,563
Column_13,540
Column_16,478
Column_32,423
Column_40,381
Column_33,381
Column_41,380
Column_6,263
Column_23,262
Column_5,260
Column_26,221
Column_31,209
Column_17,203
Column_9,195
Column_12,189
Column_29,186
Column_34,167
Column_2,143
Column_0,132
Column_36,119
Column_27,109
Column_35,105
Column_37,76
Column_38,76
Column_24,69
Column_19,44
Column_18,37
Column_1,26
Column_20,24
Column_7,20
Column_8,5
Column_28,0
