features,varimp,
Column_15,1036,
Column_25,949,
Column_14,915,
Column_30,907,
Column_39,747,
Column_4,742,
Column_21,672,
Column_3,651,
Column_11,632,
Column_13,600,
Column_10,577,
Column_7,540,connection time out
Column_16,503,
Column_8,458,active
Column_32,415,
Column_40,407,
Column_41,391,
Column_33,378,
Column_5,290,
Column_23,276,
Column_6,274,
Column_26,228,
Column_31,218,
Column_12,213,
Column_9,204,
Column_17,203,
Column_29,192,
Column_34,191,
Column_2,167,
Column_27,153,
Column_22,143,
Column_0,140,
Column_36,122,
Column_35,97,
Column_28,93,connection fail to establish
Column_37,79,
Column_24,61,
Column_38,61,
Column_19,54,
Column_18,35,
Column_1,24,
Column_20,17,
