features,varimp
Column_15,882
Column_30,788
Column_14,766
Column_25,734
Column_39,662
Column_52,657
Column_47,639
Column_4,634
Column_21,576
Column_11,496
Column_3,492
Column_7,478
Column_10,478
Column_13,461
Column_48,414
Column_8,386
Column_16,385
Column_32,368
Column_40,363
Column_33,358
Column_41,326
Column_49,280
Column_6,260
Column_5,223
Column_23,221
Column_17,185
Column_9,163
Column_31,162
Column_29,162
Column_26,161
Column_12,158
Column_22,146
Column_34,139
Column_27,125
Column_43,112
Column_42,107
Column_36,106
Column_35,96
Column_50,94
Column_2,87
Column_28,85
Column_0,78
Column_24,56
Column_37,48
Column_19,46
Column_38,33
Column_18,30
Column_44,29
Column_53,25
Column_54,16
Column_20,13
Column_51,13
Column_1,11
Column_45,0
Column_46,0
